"Nom de la demande:Mons_2010_2011";;;;;;;;
"Pas de temps:Journalier";;;;;;;;
"Date de début:01/01/2010";;;;;;;;
"Date de fin:31/12/2011";;;;;;;;
"Station(s):51242002";;;;;;;;
;;;;;;;;
"ETPP:EVAPOTRANSPIRATION PENMAN (MM/DAY)";;;;;;;;
"RG: GLOBAL RADIATION (MEGAJOULES/M2)";;;;;;;;
"RR:RAINFALL (MM)";;;;;;;;
"TN:MINIMAL TEMPERATURE (°C)";;;;;;;;
"TX:MAXIMAL TEMPERATURE (°C)";;;;;;;;
;;;;;;;;
;;;;;;;;
"NUM_POSTE";"AN";"MOIS";"JOUR";"ETPP";"RG";"RR";"TN";"TX"
51242002;2011;2;17;0.6;9.8;0.5;2.2;10.6
51242002;2011;2;18;0.1;2.54;0;-0.6;3.7
51242002;2011;2;19;0.5;3.04;1.5;2.6;5.8
51242002;2011;2;20;0.1;1.53;0;3.9;5.6
51242002;2011;2;21;0.4;2.78;0;2.2;4.5
51242002;2011;2;22;0.5;10.52;0;0.4;5.8
51242002;2011;2;23;0.7;2.61;5.5;-1.7;6
51242002;2011;2;24;0;3.28;0.5;1.5;10.6
51242002;2011;2;25;0.3;4.24;0;5.5;9.8
51242002;2011;2;26;0.6;2.33;8;7.5;10.1
51242002;2011;2;27;0.8;4.93;0;4.4;7.8
51242002;2011;2;28;0.5;3.29;0;1.6;4.8
51242002;2011;3;1;1.2;11.12;0;2.1;8.1
51242002;2011;3;2;1.6;12.5;0;1;9
51242002;2011;3;3;1.3;12.73;0;-1;6.3
51242002;2011;3;4;1;12.96;0;-1.1;8.5
51242002;2011;3;5;0.7;8.7;0;-1.3;4.2
51242002;2011;3;6;1.5;14.83;0;-0.2;7.1
51242002;2011;3;7;2;15.17;0;-1.1;9.7
51242002;2011;3;8;1.8;14.28;0;-1.3;14.1
51242002;2011;3;9;1.3;7.12;0;4.2;10.5
51242002;2011;3;10;1;5.63;0;2.2;10.1
51242002;2011;3;11;1.4;6.27;0;6.9;11.9
51242002;2011;3;12;1.9;10.74;0.5;3.5;15
51242002;2011;3;13;0.8;4.24;0;7.7;11.7
51242002;2011;3;14;0.7;4.81;0;6.1;12.3
51242002;2011;3;15;2.3;16.06;0;6.2;19.4
51242002;2011;3;16;2.1;14.41;0;7.3;15.7
51242002;2011;3;17;0.1;1.88;0;4.8;6.5
51242002;2011;3;18;0.9;6.57;2.5;3.8;10.9
51242002;2011;3;19;1;4.6;0;4.8;8
51242002;2011;3;20;1.3;14.18;0;-1.1;11.7
51242002;2011;3;21;1.9;17.95;0;-0.1;14.5
51242002;2011;3;22;2.5;15.78;0;2.1;16.4
51242002;2011;3;23;2.5;16.97;0;4.6;17.5
51242002;2011;3;24;2.7;17.59;0;5.7;19.7
51242002;2011;3;25;2.1;17.4;0;3.4;19.4
51242002;2011;3;26;2.2;12.06;0;6.5;16.4
51242002;2011;3;27;2.4;17.05;0;4.2;17.1
51242002;2011;3;28;2.4;16.98;0;4;14.3
51242002;2011;3;29;2.1;17.08;1;1;17.9
51242002;2011;3;30;0.8;4.52;3;8.1;13.1
51242002;2011;3;31;1;5.59;5;9.8;15.5
51242002;2011;4;1;1.6;7.26;0.5;12.4;16
51242002;2011;4;2;3.2;17.78;0.5;8.7;23.7
51242002;2011;4;3;1.1;5.45;0.5;9.1;12.9
51242002;2011;4;4;1.9;11.71;0;6.3;13.4
51242002;2011;4;5;1.5;7.97;0;2.4;14.1
51242002;2011;4;6;2.8;19.58;0;7.1;22.5
51242002;2011;4;7;2.9;20.75;0;7.6;21.3
51242002;2011;4;8;2.8;19.67;0;7.4;19.6
51242002;2011;4;9;3.4;21.64;0;5.7;18.9
51242002;2011;4;10;3.7;21.55;0;6.3;23.2
51242002;2011;4;11;3;19;0;7.2;19.5
51242002;2011;4;12;3;18.31;0;5.9;13.3
51242002;2011;4;13;2.1;14.78;0;0.4;14.1
51242002;2011;4;14;2.4;14.87;0;6.3;14.2
51242002;2011;4;15;2.7;14.55;0;8.2;15.6
51242002;2011;4;16;2.8;18.8;0;3.7;16.7
51242002;2011;4;17;3.3;21.19;0;5.4;17.7
51242002;2011;4;18;3.7;23;0;4;20.2
51242002;2011;4;19;4.4;23.06;0;9.9;23.4
51242002;2011;4;20;4;22.93;0;8.9;24
51242002;2011;4;21;4.5;22.74;0;9.6;23.4
51242002;2011;4;22;4.3;23.43;0;10;24.7
51242002;2011;4;23;3.8;22.24;0;8.1;25.1
51242002;2011;4;24;3.3;17.52;0;9;24.2
51242002;2011;4;25;4.3;23.38;0;9.2;23.5
51242002;2011;4;26;4;23.24;0;8.6;20.2
51242002;2011;4;27;4.2;23.13;0;9;17.5
51242002;2011;4;28;1.2;5.89;7.5;8.5;14.2
51242002;2011;4;29;2.2;12.52;6;8.4;19.4
51242002;2011;4;30;3.4;19.89;1;9.9;20.2
51242002;2011;5;1;4.1;21.72;0;9.6;21.2
51242002;2011;5;2;4.8;25.11;0;8.7;17.7
51242002;2011;5;3;4.3;25.78;0;4.6;15.4
51242002;2011;5;4;3.9;26.79;0;3.4;16.5
51242002;2011;5;5;4;25.48;0;4.2;19.2
51242002;2011;5;6;4.4;23.21;0;8.1;23.8
51242002;2011;5;7;5.5;25.05;0;12.2;25.1
51242002;2011;5;8;4.6;18.66;0;16.1;23.8
51242002;2011;5;9;4.3;24.07;0;11.1;23.8
51242002;2011;5;10;4.3;20.8;0;12.7;22.7
51242002;2011;5;11;4;24.15;0;9;19.7
51242002;2011;5;12;3.9;23.62;0;8.1;17.1
51242002;2011;5;13;3.7;26.19;0;2.6;19.5
51242002;2011;5;14;4;23.01;0;7.3;17.6
51242002;2011;5;15;3.1;15.53;0;7.9;15.8
51242002;2011;5;16;2.3;10.85;0;6.5;18
51242002;2011;5;17;4.6;24.12;0;10;19.8
51242002;2011;5;18;4.5;27.04;0;6.4;23.4
51242002;2011;5;19;3.1;17.57;0;10.1;19.8
51242002;2011;5;20;3.5;20.15;0;8;20.1
51242002;2011;5;21;4;26.76;0;3;23
51242002;2011;5;22;4.6;22.63;0;11.6;19.7
51242002;2011;5;23;5;28.75;0;4.7;24.3
51242002;2011;5;24;4.8;27.7;0;9.1;17.8
51242002;2011;5;25;4.5;29.87;0;1.3;23
51242002;2011;5;26;4.1;16.18;0.5;8.6;18.5
51242002;2011;5;27;3.1;14.07;0;10;17.6
51242002;2011;5;28;4.2;26.02;0;3;20.5
51242002;2011;5;29;4.8;25.17;0;8;24.5
51242002;2011;5;30;4.7;22.71;0.5;7.9;29.1
51242002;2011;5;31;4;18.24;0;11.2;17.7
51242002;2011;6;1;4.9;30.45;0;4.6;20.7
51242002;2011;6;2;6.4;30.78;0;8.7;24
51242002;2011;6;3;6.4;27.81;0;12;26.4
51242002;2011;6;4;6;23.79;8;16.5;30.4
51242002;2011;6;5;3.3;14.17;4;16.8;25
51242002;2011;6;6;2;7.22;1.5;14.9;20.7
51242002;2011;6;7;1.9;8.45;4.5;12.5;18.2
51242002;2011;6;8;3.8;22.75;0;6.8;19.3
51242002;2011;6;9;3.8;23.45;0;6;19.3
51242002;2011;6;10;2;9.43;10.5;9.9;15.8
51242002;2011;6;11;3.5;21.89;0;5.7;16.7
51242002;2011;6;12;3.4;19.12;0.5;4.5;19.3
51242002;2011;6;13;3.1;14.35;1;12;21.9
51242002;2011;6;14;3.9;20.86;0;13.2;23.5
51242002;2011;6;15;4.7;21.71;3.5;15.4;23.5
51242002;2011;6;16;4.4;18;3;15.6;20.8
51242002;2011;6;17;1.9;10.84;1.5;6.3;17.3
51242002;2011;6;18;4.1;17.37;6.5;11.3;17.6
51242002;2011;6;19;3.5;14.76;4.5;10.5;18.6
51242002;2011;6;20;2.3;12.5;3.5;9.7;20.8
51242002;2011;6;21;3.7;17.1;1.5;14.5;22.9
51242002;2011;6;22;3.1;13.85;7;13.3;19.8
51242002;2011;6;23;4.6;23.42;0.5;11.5;18.6
51242002;2011;6;24;4.6;27.93;0;7.4;19.2
51242002;2011;6;25;2.7;11.92;0;11.9;21.5
51242002;2011;6;26;4.9;24.52;0;13.8;27.5
51242002;2011;6;27;6.9;27.74;1;17.9;34.1
51242002;2011;6;28;6.1;21.77;14.5;19.8;33.9
51242002;2011;6;29;4.8;21.2;0;15.2;22.1
51242002;2011;6;30;3.4;18.12;0;7.7;21.6
51242002;2011;7;1;4.3;22.75;0;9.2;21.4
51242002;2011;7;2;4.4;24.94;0;7.3;20.8
51242002;2011;7;3;4.9;29.51;0;6.4;22.7
51242002;2011;7;4;5.5;30.37;0;9.2;24.9
51242002;2011;7;5;5.5;27.54;0.5;9;29.4
51242002;2011;7;6;4.4;18.11;2;13.8;23.3
51242002;2011;7;7;4.3;20.24;0;8.9;22.4
51242002;2011;7;8;4.1;16.83;3;11.5;23.1
51242002;2011;7;9;3.4;13.57;1;14.1;21.5
51242002;2011;7;10;3.2;12.32;0;13.9;23.7
51242002;2011;7;11;5.1;26.81;0;10.7;26.7
51242002;2011;7;12;2.8;8.93;0.5;14.2;22.6
51242002;2011;7;13;3.2;10.43;0;13;18.4
51242002;2011;7;14;3.6;15.63;0;9.1;19.8
51242002;2011;7;15;5;26.19;0;7.6;26.6
51242002;2011;7;16;2.5;8.03;15;11.7;20.6
51242002;2011;7;17;3.4;14.3;1;12.5;18.6
51242002;2011;7;18;3.2;11.73;0.5;12.6;18.5
51242002;2011;7;19;1.6;7.23;16.5;11.6;17.1
51242002;2011;7;20;2.2;10.49;0;9.4;19.9
51242002;2011;7;21;3.3;13.82;0;13.5;22.7
51242002;2011;7;22;4;17.93;3;14.4;21.6
51242002;2011;7;23;2;10.07;4.5;6.7;17.6
51242002;2011;7;24;5;25.48;0;11.7;21.4
51242002;2011;7;25;3.3;15.43;0;10;24.1
51242002;2011;7;26;3.3;15.06;0;13.5;21
51242002;2011;7;27;2;7.9;1;14.1;18.8
51242002;2011;7;28;2.8;11.88;1;14;22.3
51242002;2011;7;29;4.4;19.55;0;14.9;24
51242002;2011;7;30;3.4;17.49;0;9.2;20.9
51242002;2011;7;31;4.4;26.62;0;7.4;23.2
51242002;2011;8;1;5.1;27.02;0;9.8;26.2
51242002;2011;8;2;4.5;20.89;1;11.5;29.2
51242002;2011;8;3;2.8;9.66;0.5;17.9;24.4
51242002;2011;8;4;3.4;14.74;9.5;11.4;26.5
51242002;2011;8;5;2.2;11.11;0.5;12.9;22.1
51242002;2011;8;6;2.4;9.2;2;14.2;22.2
51242002;2011;8;7;4.3;18.29;6;11.6;21.8
51242002;2011;8;8;4.6;19.67;1;12.4;20.6
51242002;2011;8;9;4;18.94;0;12;19.7
51242002;2011;8;10;4.3;24.92;0;7.3;23
51242002;2011;8;11;4.8;18.89;0;11.2;26.8
51242002;2011;8;12;2.1;8.37;1.5;15.7;20
51242002;2011;8;13;1.4;6.61;19.5;13.9;20.4
51242002;2011;8;14;2.6;11.46;0;14.8;20.2
51242002;2011;8;15;3.8;22.26;0;9.5;22.6
51242002;2011;8;16;3.8;18.35;0;13.7;25.1
51242002;2011;8;17;3.4;17.06;0;11.9;25.6
51242002;2011;8;18;3.9;15.46;0.5;15;27.6
51242002;2011;8;19;3.3;15.2;0;16.2;22
51242002;2011;8;20;4.4;23.72;1;10.4;28.2
51242002;2011;8;21;4.3;15.47;0;18.3;29.5
51242002;2011;8;22;2.8;10.43;22.5;15;23.6
51242002;2011;8;23;3.6;16.13;0;16;25.4
51242002;2011;8;24;3.1;12.09;0;16.7;21.3
51242002;2011;8;25;3.6;16.71;16;13.6;24.5
51242002;2011;8;26;1.9;5.8;3.5;15.4;18.6
51242002;2011;8;27;2.9;13.3;2;11.9;18.9
51242002;2011;8;28;2.8;13.27;0.5;10.9;18.2
51242002;2011;8;29;3.1;18.12;0;9.6;18.8
51242002;2011;8;30;1.9;11.66;0;6.1;17.8
51242002;2011;8;31;2.8;18.42;0;7.6;19.8
51242002;2011;9;1;3.7;19.74;0;10.7;25.4
51242002;2011;9;2;3.7;19.03;0;14.5;28.3
51242002;2011;9;3;4.3;19.7;18.5;16.3;30.3
51242002;2011;9;4;2.7;11.21;3;16.2;21.8
51242002;2011;9;5;3.6;16.77;0;12.4;18.8
51242002;2011;9;6;2.6;7.86;9;12.3;18.6
51242002;2011;9;7;3.4;13.62;0;12.4;18.4
51242002;2011;9;8;1.8;4.9;4;13.2;18
51242002;2011;9;9;1.1;5.19;1;15.9;21.8
51242002;2011;9;10;3.8;16.63;0;16.2;28.9
51242002;2011;9;11;1.8;5.7;15;15.2;17.9
51242002;2011;9;12;2.9;10;0.5;13.9;22.3
51242002;2011;9;13;3.3;13.75;0;14.3;19.9
51242002;2011;9;14;2.2;12.89;0;8.9;18.6
51242002;2011;9;15;2.3;17.64;0;7.2;20.2
51242002;2011;9;16;2.5;11.02;0.5;10.4;22.4
51242002;2011;9;17;2.1;7.96;7.5;11.4;17.5
51242002;2011;9;18;1.7;9.33;5;8.8;15.3
51242002;2011;9;19;2.1;15.64;0;7.8;18.5
51242002;2011;9;20;1.8;8.55;0;11.2;17.9
51242002;2011;9;21;2;8.95;0;13;19.3
51242002;2011;9;22;1.8;12.1;0;9.3;18.1
51242002;2011;9;23;1.7;14.14;0.5;6.4;19.3
51242002;2011;9;24;2.1;15.79;0;8.6;22
51242002;2011;9;25;2.3;15.13;0;10.1;24.3
51242002;2011;9;26;2.4;14.54;0;12.6;24.7
51242002;2011;9;27;2.3;15.24;0;13.5;24.5
51242002;2011;9;28;2.8;15.39;0.5;13.6;26.7
51242002;2011;9;29;2.9;15.06;0;15.1;26.2
51242002;2011;9;30;2.5;14.82;0;12.8;26.3
51242002;2011;10;1;2.2;14.38;0;12.8;27.6
51242002;2011;10;2;2;14.28;0;10.6;27.2
51242002;2011;10;3;2.2;14.32;0;10.2;26.7
51242002;2011;10;4;0.7;3.45;0;12;18.8
51242002;2011;10;5;1.9;4.92;0;15.6;18.9
51242002;2011;10;6;2.1;5.96;3.5;10.7;17.1
51242002;2011;10;7;1.4;10.36;0.5;6.4;14.5
51242002;2011;10;8;1.1;5.84;4.5;7.4;13.1
51242002;2011;10;9;0.4;2.18;9;10.7;16.4
51242002;2011;10;10;1.9;5.26;0;14.9;18.2
51242002;2011;10;11;1.5;3.63;0.5;14.4;16.4
51242002;2011;10;12;1;4.3;2.5;13.2;15.8
51242002;2011;10;13;1.2;7.07;0;12.4;16.4
51242002;2011;10;14;1.6;12.94;0;6.4;15
51242002;2011;10;15;1.2;12.74;0;3.6;14
51242002;2011;10;16;0.9;11.85;0;3.1;15.7
51242002;2011;10;17;0.8;7.86;0;5.5;16.2
51242002;2011;10;18;0.8;2.62;5;7.9;12.6
51242002;2011;10;19;1.1;8.86;0.5;6.2;12.3
51242002;2011;10;20;0.7;9.93;0;1.2;10.7
51242002;2011;10;21;0.7;10.42;0;-0.7;11.5
51242002;2011;10;22;0.8;6.62;0.5;1.2;7.9
51242002;2011;10;23;1;10.3;0;2.9;15
51242002;2011;10;24;1.3;9.91;5.5;4.7;15.1
51242002;2011;10;25;1;4.36;3.5;9.4;15.5
51242002;2011;10;26;1.1;9.65;0;7.7;14.4
51242002;2011;10;27;1;7.68;0;7.3;16
51242002;2011;10;28;0.7;7.33;0;10;17.3
51242002;2011;10;29;0.6;4.23;0;12.2;16.5
51242002;2011;10;30;0.6;6.11;0;10.5;15.4
51242002;2011;10;31;0.6;7.92;0.5;7.4;16.5
51242002;2011;11;1;0.6;4.66;5.5;7.9;16.3
51242002;2011;11;2;0.4;4.31;0;8.5;13.9
51242002;2011;11;3;0.9;1.96;3.5;12.8;16.1
51242002;2011;11;4;1;7;6;11.7;16.9
51242002;2011;11;5;0.7;5.06;0;12.2;17.3
51242002;2011;11;6;1;3.17;0;12.1;13.2
51242002;2011;11;7;0.4;0.91;0.5;8.6;10.3
51242002;2011;11;8;0.2;1.21;1;8.2;10.8
51242002;2011;11;9;0.7;4.29;0;9.5;15
51242002;2011;11;10;0.3;3.87;0;6.1;8.7
51242002;2011;11;11;0.3;1.72;0.5;5.8;7.8
51242002;2011;11;12;0.3;5.51;0;4.5;12.7
51242002;2011;11;13;0.3;2;0;5.4;8
51242002;2011;11;14;0.3;3.58;0;3.9;7.2
51242002;2011;11;15;0.3;1.82;0;1;3.9
51242002;2011;11;16;0.2;1.84;0;0.7;3.3
51242002;2011;11;17;0;1.56;0;2.1;8.5
51242002;2011;11;18;0.1;2.82;0.5;7.4;10.2
51242002;2011;11;19;0;5.74;0;4.5;11
51242002;2011;11;20;0;6.17;0.5;1.1;12.5
51242002;2011;11;21;0;3.44;0;-0.7;10.2
51242002;2011;11;22;0;5.41;2;4.3;13.1
51242002;2011;11;23;0;1.72;0;3.5;10.2
51242002;2011;11;24;0;1.04;0;7;8.9
51242002;2011;11;25;0.1;0.86;0.5;5.9;9.2
51242002;2011;11;26;0;4.21;0;2;9.3
51242002;2011;11;27;0.7;1.89;0;5.7;12.8
51242002;2011;11;28;0;2.43;0;-0.4;6.9
51242002;2011;11;29;0.2;1.44;0.5;3.2;10.3
51242002;2011;11;30;0;4.96;0.5;2.7;10.8
51242002;2011;12;1;0;1.22;3.5;2.5;12.8
51242002;2011;12;2;0.1;4.39;1;5.5;9.5
51242002;2011;12;3;0.4;0.83;9;5.3;10.9
51242002;2011;12;4;0.2;1.24;9.5;7.3;10.7
51242002;2011;12;5;0.3;3.26;5;1.7;6.7
51242002;2011;12;6;0.6;2.3;10.5;3.9;8.3
51242002;2011;12;7;1;3.11;2.5;4.8;10.4
51242002;2011;12;8;0.4;2.16;4;1.7;11.1
51242002;2011;12;9;0.3;3.01;0.5;5.1;9.3
51242002;2011;12;10;0;2.57;0;-0.3;5.7
51242002;2011;12;11;0;3.94;5.5;2.3;8.9
51242002;2011;12;12;0.2;4.23;1.5;4.6;9.5
51242002;2011;12;13;1.2;1.98;6.5;5.6;11.1
51242002;2011;12;14;0.9;2.58;1.5;4.8;8
51242002;2011;12;15;1.7;1.96;16;3.7;12.2
51242002;2011;12;16;1;1.04;7;2.6;11
51242002;2011;12;17;0;3.7;4.5;1.5;6.9
51242002;2011;12;18;0;4.45;4.5;0.9;4.7
51242002;2011;12;19;0.1;2.86;2.5;-2.5;5.7
51242002;2011;12;20;0;3.5;1;1.3;7.8
51242002;2011;12;21;0;0.93;3;2.7;10.1
51242002;2011;12;22;0;3.16;0;7.7;12
51242002;2011;12;23;0.6;1.53;2;8;9.2
51242002;2011;12;24;0.1;3.95;0;3.8;7.3
51242002;2011;12;25;0.3;2.15;0;4.4;10.1
51242002;2011;12;26;0.5;1.07;0;8;10.2
51242002;2011;12;27;0;2.13;0;1.3;5.8
51242002;2011;12;28;0.2;0.77;0;2.4;6.5
51242002;2011;12;29;0.4;2.06;11.5;1.9;8.4
51242002;2011;12;30;0.5;2.7;12;4.4;10.2
51242002;2011;12;31;0;1.02;1;4.9;11.8
